Record,loggingTime(txt),Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
168,2025-05-31T10:04:07.600,39.5356209,-122.3338547,99.5,0.14,0.000,-0.016,1.000,0,0.16,-0.08,0.02
169,2025-05-31T10:04:07.640,39.5356209,-122.3338547,99.5,0.08,0.000,-0.016,1.000,0,0.16,-0.09,0.02
170,2025-05-31T10:04:07.680,39.5356209,-122.3338547,99.5,0.13,0.000,-0.016,1.001,0,0.16,-0.09,0.02
171,2025-05-31T10:04:07.720,39.5356209,-122.3338547,99.5,0.15,0.000,-0.016,1.001,0,0.16,-0.09,0.02
172,2025-05-31T10:04:07.760,39.5356210,-122.3338547,99.5,0.08,0.000,-0.016,1.001,0,0.16,-0.09,0.03
173,2025-05-31T10:04:07.800,39.5356209,-122.3338547,99.5,0.17,0.000,-0.016,1.001,0,0.15,-0.08,0.03
174,2025-05-31T10:04:07.840,39.5356209,-122.3338547,99.5,0.21,0.000,-0.016,1.001,0,0.15,-0.08,0.02
175,2025-05-31T10:04:07.880,39.5356210,-122.3338547,99.5,0.16,0.000,-0.016,1.001,0,0.15,-0.09,0.02
176,2025-05-31T10:04:07.920,39.5356210,-122.3338547,99.5,0.19,-0.001,-0.016,1.000,0,0.15,-0.09,0.02
177,2025-05-31T10:04:07.960,39.5356210,-122.3338547,99.5,0.18,-0.001,-0.016,1.000,0,0.15,-0.09,0.02
178,2025-05-31T10:04:08.000,39.5356210,-122.3338547,99.5,0.13,0.000,-0.016,1.000,0,0.15,-0.10,0.02
179,2025-05-31T10:04:08.040,39.5356210,-122.3338547,99.5,0.09,0.000,-0.016,1.000,0,0.16,-0.10,0.02
180,2025-05-31T10:04:08.080,39.5356212,-122.3338547,99.5,0.04,0.000,-0.016,1.000,0,0.16,-0.10,0.02
181,2025-05-31T10:04:08.120,39.5356212,-122.3338547,99.5,0.11,0.000,-0.016,1.000,0,0.16,-0.10,0.02
182,2025-05-31T10:04:08.160,39.5356212,-122.3338547,99.5,0.09,0.000,-0.016,1.000,0,0.15,-0.10,0.02
183,2025-05-31T10:04:08.200,39.5356212,-122.3338547,99.5,0.07,0.000,-0.017,1.001,0,0.16,-0.11,0.02
184,2025-05-31T10:04:08.240,39.5356212,-122.3338547,99.5,0.04,0.000,-0.017,1.001,0,0.16,-0.11,0.01
185,2025-05-31T10:04:08.280,39.5356213,-122.3338547,99.5,0.09,0.000,-0.017,1.000,0,0.16,-0.11,0.01
186,2025-05-31T10:04:08.320,39.5356213,-122.3338547,99.5,0.05,0.000,-0.016,1.000,0,0.16,-0.11,0.01
187,2025-05-31T10:04:08.360,39.5356213,-122.3338547,99.5,0.10,0.000,-0.017,1.000,0,0.16,-0.12,0.01
